0,1,2,3,4,5,6,7,8
63,Kanoria Chemicals & Industries Ltd.,-,-,1.37,1.37,1.34,6.89,mukul-agrawal
64,PTC Industries Ltd.,-,-,1.01,-,-,0,mukul-agrawal
65,SG Finserve Ltd.,-,-,2.09,2.42,2.42,52.51,mukul-agrawal
66,Surya Roshni Ltd.,-,-,1.30,1.71,2.02,87.79,mukul-agrawal
67,Bhagiradha Chemicals & Industries Ltd.,-,-,-,3.84,3.83,54.54,mukul-agrawal
68,Raghav Productivity Enhancers Ltd.,-,-,-,1.64,1.55,15.82,mukul-agrawal
69,Sula Vineyards Ltd.,-,-,-,1.90,2.38,,mukul-agrawal
70,Suryoday Small Finance Bank Ltd.,-,-,-,1.88,1.88,20.63,mukul-agrawal
71,Tracxn Technologies Ltd.,-,-,-,1.99,1.99,,mukul-agrawal
72,De Nora India Ltd.,-,-,-,-,1.37,8.16,mukul-agrawal
73,ISMT Ltd.,-,-,-,-,1.33,28.20,mukul-agrawal
1,Bannari Amman Sugars Ltd.,-,2.59,2.59,2.59,2.59,93.61,nemish-s-shah
2,E.I.D. - Parry (India) Ltd.,1.17,1.17,1.17,1.17,1.17,104.39,nemish-s-shah
3,Elgi Equipments Ltd.,1.69,1.69,1.69,1.69,1.69,248.88,nemish-s-shah
4,Investment & Precision Castings Ltd.,10.00,10.00,10.00,10.00,10.00,18.47,nemish-s-shah
5,Lakshmi Machine Works Ltd.,10.50,10.50,10.45,10.45,10.40,"1,185.89",nemish-s-shah
6,Rane Engine Valve Ltd.,1.01,1.01,1.01,1.01,-,0,nemish-s-shah
7,Vascon Engineers Ltd.,4.04,4.04,4.04,4.04,4.04,27.88,nemish-s-shah
8,Zodiac Clothing Company Ltd.,1.64,1.64,1.64,1.64,1.56,3.86,nemish-s-shah
9,Asahi India Glass Ltd.,-,-,5.95,5.95,5.95,691.66,nemish-s-shah
10,The Hi-Tech Gears Ltd.,-,-,4.45,-,-,0,nemish-s-shah
1,Ashok Alco-Chem Ltd.,3.94,3.94,4.13,4.13,4.13,1.78,porinju-v-veliyath
